running model M5 dataset auto_mpg file= /home/local/manuel.fernandez.delgado/artigos/comparacion_regresores/experiments/data/auto_mpg/auto_mpg_R.dat ...
#pruned: 2 values:  1 2
#smoothed: 2 values:  1  2 
#rules: 2 values:  1  2 
            progress	              pruned	            smoothed	               rules	                rmse	                best
               97.98	                 409	            0.184853
               98.00	                 410	             0.21713
               98.02	                 411	            0.179514
               98.04	                 412	            0.168094
               98.07	                 413	            0.168911
               98.09	                 414	            0.162965
               98.11	                 415	            0.128174
               98.13	                 416	            0.182469
               98.16	                 417	             0.18589
               98.18	                 418	            0.169618
               98.20	                 419	            0.168909
               98.22	                 420	            0.141616
               98.24	                 421	            0.160174
               98.27	                 422	            0.140792
               98.29	                 423	            0.143147
               98.31	                 424	            0.132299
               98.33	                 425	            0.152198
               98.36	                 426	            0.156478
               98.38	                 427	            0.127789
               98.40	                 428	            0.165209
               98.42	                 429	             0.13128
               98.44	                 430	            0.190376
               98.47	                 431	            0.160391
               98.49	                 432	            0.191917
               98.51	                 433	            0.153177
               98.53	                 434	            0.216646
               98.56	                 435	            0.142924
               98.58	                 436	            0.159285
               98.60	                 437	            0.152764
               98.62	                 438	            0.170197
               98.64	                 439	            0.166292
               98.67	                 440	            0.174966
               98.69	                 441	            0.181922
               98.71	                 442	             0.13839
               98.73	                 443	            0.124233
               98.76	                 444	            0.180521
               98.78	                 445	            0.174274
               98.80	                 446	            0.166995
               98.82	                 447	            0.140091
               98.84	                 448	            0.193196
               98.87	                 449	            0.194693
               98.89	                 450	            0.136356
               98.91	                 451	            0.170131
               98.93	                 452	            0.152773
               98.96	                 453	            0.229122
               98.98	                 454	            0.185872
               99.00	                 455	            0.152877
               99.02	                 456	            0.178258
               99.04	                 457	            0.173914
               99.07	                 458	            0.178639
               99.09	                 459	            0.155825
               99.11	                 460	            0.135406
               99.13	                 461	             0.12693
               99.16	                 462	            0.154814
               99.18	                 463	            0.162867
               99.20	                 464	            0.178369
               99.22	                 465	            0.247436
               99.24	                 466	            0.179185
               99.27	                 467	             0.16827
               99.29	                 468	            0.166699
               99.31	                 469	            0.157718
               99.33	                 470	            0.188147
               99.36	                 471	             0.17695
               99.38	                 472	             0.17092
               99.40	                 473	            0.159525
               99.42	                 474	            0.161246
               99.44	                 475	            0.208753
               99.47	                 476	             0.12256
               99.49	                 477	            0.147829
               99.51	                 478	            0.168667
               99.53	                 479	            0.134667
               99.56	                 480	            0.176936
               99.58	                 481	            0.183743
               99.60	                 482	            0.143787
               99.62	                 483	            0.183524
               99.64	                 484	            0.175242
               99.67	                 485	            0.144296
               99.69	                 486	            0.151079
               99.71	                 487	            0.157696
               99.73	                 488	            0.158077
               99.76	                 489	            0.221522
               99.78	                 490	            0.123415
               99.80	                 491	            0.170673
               99.82	                 492	            0.153833
               99.84	                 493	            0.154716
               99.87	                 494	            0.166357
               99.89	                 495	            0.131184
               99.91	                 496	            0.244131
               99.93	                 497	            0.133603
               99.96	                 498	            0.204986
               99.98	                 499	            0.193025
              100.00	                 500	            0.155986
avg_r2= 0.869201 std= 0.0402399
avg_rmse= 0.165373 std= 0.0236633
avg_mae= 0.128578 std= 0.0176918
time= 1.097776 s.
