     trial        R^2       RMSE        MAE
       244    0.90169   0.132314   0.103284
       245   0.853338   0.181693   0.129888
       246   0.867017    0.15985   0.119203
       247   0.886106   0.151743   0.114618
       248   0.888023   0.156132   0.124778
       249   0.912625   0.131408   0.100034
       250   0.879967   0.169986   0.132875
       251   0.835184   0.185928    0.14678
       252   0.910018   0.147093   0.112772
       253   0.863071   0.168664   0.129328
       254   0.847071   0.170948   0.132252
       255   0.860196   0.171427   0.142817
       256    0.86525   0.170461   0.143714
       257   0.906278   0.143078   0.119621
       258   0.915871   0.129284   0.093603
       259   0.728502   0.190378   0.156927
       260   0.818406   0.169301   0.128982
       261   0.871986   0.179861   0.135332
       262   0.867544   0.174616   0.116685
       263   0.859279   0.176145   0.144754
       264   0.857333   0.168625   0.126461
       265   0.839474   0.200725   0.153382
       266   0.867253   0.159961   0.124652
       267   0.832412   0.191217   0.139182
       268    0.88486   0.179183   0.144856
       269   0.906803   0.177436   0.140167
       270   0.877708   0.168236   0.131879
       271    0.85832   0.166136   0.129564
       272   0.865279   0.160615   0.130931
       273   0.861183   0.170695   0.130225
       274   0.917116   0.131193   0.100847
       275   0.879974   0.164157   0.116178
       276   0.921181   0.135576   0.107081
       277   0.888026   0.155477   0.125126
       278   0.908366   0.143813    0.11005
       279   0.845147   0.189068   0.150457
       280   0.837852   0.167861   0.136401
       281   0.899721   0.169325    0.13957
       282   0.860054   0.172374   0.136127
       283   0.885606   0.158742   0.130323
       284   0.892646   0.152414   0.120916
       285   0.892646   0.149256   0.131012
       286   0.790163   0.176437   0.142955
       287   0.841683   0.172235   0.144463
       288   0.885332    0.18083   0.151936
       289   0.855928    0.17605   0.139524
       290   0.782647   0.198594   0.147316
       291   0.790767   0.209405   0.164883
       292   0.922556   0.124008   0.101506
       293   0.814914   0.199591   0.152342
       294   0.853948   0.162493   0.124529
       295   0.897545   0.180354   0.134813
       296   0.855295   0.199396   0.154214
       297   0.893086    0.14421   0.100598
       298   0.872851   0.170944   0.131348
       299   0.890262   0.154913   0.111511
       300   0.843136   0.163801   0.127714
       301   0.857137   0.188628   0.156319
       302   0.871517   0.168551   0.124091
       303    0.83523   0.190053   0.143259
       304   0.852701    0.18538   0.137608
       305   0.794321   0.184172    0.13911
       306   0.918877   0.126814   0.105379
       307   0.854431   0.177731   0.137506
       308   0.838356   0.176074    0.13412
       309   0.845214   0.200161   0.164577
       310   0.839058   0.162498   0.125102
       311   0.898895   0.170086   0.116171
       312   0.913992   0.147633   0.113429
       313   0.827902   0.172058   0.132859
       314   0.855754    0.17787   0.141325
       315    0.73597   0.215187   0.150844
       316   0.839441   0.181811   0.129996
       317   0.883265   0.166704   0.134908
       318   0.842403   0.185766   0.148367
       319   0.908033   0.143074   0.116547
       320   0.925877   0.128379   0.112104
       321    0.87057      0.162    0.12442
       322   0.876435   0.156167   0.117369
       323   0.888912   0.178051   0.137345
       324   0.885049   0.146148   0.117833
       325   0.813998   0.212512    0.17121
       326   0.845346   0.182798    0.14639
       327   0.851508   0.186435   0.144326
       328   0.875993   0.161062   0.120712
       329   0.867797   0.159973   0.135219
       330   0.826398    0.17918   0.133877
       331   0.889848   0.175728   0.125854
       332   0.880736   0.166245   0.122116
       333   0.893841   0.150482   0.122086
       334   0.811016    0.19605   0.157853
       335   0.837711   0.192235    0.13886
       336   0.839027   0.182196   0.138407
       337   0.842017     0.1764   0.138976
       338   0.902595   0.130118   0.105768
       339   0.887993   0.158517   0.121285
       340    0.76228   0.257858   0.203239
       341   0.909026    0.13132   0.104899
       342   0.839442   0.163226   0.123748
       343   0.850835   0.186798   0.148118
       344   0.894382   0.121062  0.0920391
       345   0.892588   0.151059   0.123433
       346   0.895594   0.156883   0.111374
       347   0.874012   0.186597   0.152038
       348   0.901076   0.183171   0.144034
       349   0.909213   0.136097   0.112515
       350   0.899711   0.155975    0.11872
       351   0.901258   0.147182   0.102618
       352   0.858722   0.156384   0.122723
       353   0.834369   0.178737   0.147517
       354   0.872852   0.169279   0.128187
       355   0.914724   0.148822   0.117612
       356   0.882366   0.171311   0.131863
       357   0.895314   0.151192   0.130633
       358   0.871972   0.152136   0.126565
       359   0.871259   0.179419   0.130991
       360   0.891163   0.157853   0.130602
       361   0.882739   0.184812    0.15492
       362   0.799073   0.208634     0.1468
       363   0.866619   0.171504   0.126357
       364   0.897806   0.159864   0.122423
       365   0.900132   0.163193   0.119412
       366   0.886087   0.145075   0.111609
       367   0.857321   0.162861   0.126617
       368   0.879555   0.161935   0.118112
       369   0.867843    0.15369   0.124298
       370   0.878592   0.156187   0.123177
       371   0.874491   0.185888   0.137774
       372   0.889188   0.147262   0.111965
       373   0.903504    0.14161   0.109792
       374   0.902581   0.145674   0.115293
       375   0.898182   0.138977  0.0990172
       376   0.869001   0.171657   0.134939
       377    0.91243   0.122709   0.100467
       378   0.841391   0.180117   0.138538
       379   0.883926   0.210032   0.168488
       380   0.931629   0.119691  0.0920384
       381   0.843937   0.168955   0.125051
       382   0.926519   0.122967  0.0964914
       383   0.846009   0.188441   0.149198
       384   0.866092   0.181168   0.144122
       385   0.926695   0.131586   0.101115
       386   0.850231   0.172168   0.136876
       387   0.745038   0.220694   0.154256
       388   0.881439   0.168576   0.132315
       389   0.900755   0.138567   0.110454
       390   0.900742   0.142654   0.110734
       391   0.882559   0.167058     0.1281
       392   0.848788   0.172285   0.142641
       393    0.89332   0.152711   0.122691
       394   0.902606   0.166313   0.132049
       395   0.913461   0.130112   0.101928
       396   0.893576   0.137463   0.100998
       397   0.912783   0.145847    0.11241
       398   0.839053   0.205443   0.147484
       399   0.885275   0.166929    0.13049
       400   0.913848   0.144538   0.119105
       401   0.905337   0.134524   0.105617
       402   0.862361   0.170776   0.134799
       403   0.891456   0.143338   0.102844
       404    0.90048    0.14982   0.118531
       405   0.946972   0.109051  0.0925062
       406   0.909568   0.149749   0.118806
       407   0.886631   0.136975   0.112914
       408   0.861089   0.158301   0.124604
       409   0.851587   0.184853   0.139636
       410   0.804621    0.21713   0.140169
       411   0.881494   0.179514    0.14244
       412   0.843242   0.168094   0.128832
       413   0.856314   0.168911   0.133043
       414   0.829956   0.162965    0.12804
       415   0.919092   0.128174   0.100198
       416   0.810457   0.182469   0.140126
       417   0.828645    0.18589   0.143363
       418   0.900477   0.169618   0.132629
       419   0.900969   0.168909   0.136072
       420   0.903952   0.141616   0.112541
       421   0.885387   0.160174   0.122312
       422   0.935015   0.140792   0.117859
       423   0.894069   0.143147   0.119668
       424    0.90336   0.132299   0.104484
       425   0.889779   0.152198   0.118423
       426     0.8865   0.156478   0.122703
       427   0.937166   0.127789  0.0954669
       428   0.888316   0.165209   0.135618
       429   0.918197    0.13128   0.101523
       430    0.83001   0.190376   0.151325
       431   0.914673   0.160391   0.128377
       432    0.83279   0.191917   0.156366
       433   0.876853   0.153177   0.113954
       434   0.827162   0.216646   0.179049
       435   0.899644   0.142924   0.103267
       436    0.85895   0.159285   0.125222
       437   0.871613   0.152764   0.120415
       438   0.852942   0.170197   0.127882
       439    0.88657   0.166292   0.133374
       440   0.840629   0.174966   0.132821
       441    0.82999   0.181922   0.149824
       442   0.904831    0.13839    0.10886
       443   0.929192   0.124233  0.0980729
       444   0.811373   0.180521   0.132952
       445   0.889503   0.174274   0.143766
       446   0.834551   0.166995   0.122626
       447   0.924651   0.140091   0.104943
       448   0.822545   0.193196   0.139001
       449   0.803217   0.194693   0.118105
       450   0.884616   0.136356     0.1078
       451   0.850583   0.170131   0.128327
       452   0.886423   0.152773    0.12471
       453   0.733709   0.229122   0.159608
       454   0.860903   0.185872   0.144625
       455    0.90001   0.152877   0.114497
       456   0.873154   0.178258   0.134229
       457   0.841684   0.173914   0.134004
       458   0.875246   0.178639   0.135126
       459   0.911068   0.155825   0.127754
       460   0.936417   0.135406   0.100685
       461   0.936333    0.12693   0.100705
       462   0.898555   0.154814   0.124573
       463   0.855811   0.162867   0.135064
       464   0.835842   0.178369   0.137983
       465   0.787777   0.247436   0.168375
       466   0.824414   0.179185   0.141814
       467   0.875228    0.16827   0.131456
       468   0.822425   0.166699   0.124426
       469   0.899774   0.157718   0.125157
       470   0.865375   0.188147   0.141303
       471   0.855777    0.17695   0.143167
       472   0.860929    0.17092   0.131159
       473   0.850909   0.159525   0.125677
       474   0.865883   0.161246   0.129912
       475   0.809403   0.208753   0.157915
       476   0.926225    0.12256  0.0981035
       477    0.91391   0.147829   0.116767
       478   0.862452   0.168667    0.13392
       479   0.914767   0.134667    0.10559
       480   0.821348   0.176936    0.14056
       481   0.833448   0.183743   0.148057
       482   0.900123   0.143787   0.110234
       483   0.844716   0.183524   0.150614
       484    0.88566   0.175242   0.132295
       485   0.888388   0.144296   0.120254
       486    0.88581   0.151079   0.125032
       487   0.885805   0.157696   0.125846
       488   0.854616   0.158077   0.122774
       489   0.760746   0.221522   0.164259
       490   0.923023   0.123415  0.0998725
       491   0.834261   0.170673   0.138086
       492   0.889274   0.153833   0.115388
       493    0.89616   0.154716    0.11969
       494   0.877472   0.166357   0.141957
       495   0.922108   0.131184   0.107575
       496     0.7053   0.244131   0.193393
       497   0.914927   0.133603   0.103183
       498   0.770936   0.204986     0.1571
       499   0.839825   0.193025   0.149533
       500   0.858107   0.155986   0.119435
